gameId,homeTeam,expectedMinutesTotal_x,homeFinishing,homeShooting,homePlaymaking,homeDefense,homeRebounding,homePhysical,isHome_x,awayTeam,expectedMinutesTotal_y,awayFinishing,awayShooting,awayPlaymaking,awayDefense,awayRebounding,awayPhysical,isHome_y,finishingDiff,shootingDiff,playmakingDiff,defenseDiff,reboundingDiff,physicalDiff,homeScore,awayScore,homePointDiff,homeWin,gameDate
0022500001,OKC,234.0,61.89230769230769,62.15128205128205,58.65384615384615,71.13333333333334,54.04102564102564,59.86408756935073,True,HOU,270.0,61.10444444444445,44.4911111111111,51.64888888888889,60.49111111111111,67.38222222222223,57.06666666666667,False,0.7878632478632426,17.66017094017095,7.0049572649572625,10.64222222222223,-13.341196581196584,2.7974209026840597,125,124,1,1,2025-10-21
0022500002,LAL,234.0,61.833333333333336,53.20769230769231,51.04358974358975,49.51794871794872,51.01282051282051,58.746153846153845,True,GSW,246.0,58.99268292682927,57.165853658536584,68.5609756097561,58.707317073170735,60.326829268292684,43.974953644273285,False,2.840650406504068,-3.9581613508442715,-17.51738586616635,-9.189368355222015,-9.314008755472173,14.77120020188056,109,119,-10,0,2025-10-21
0022500003,NYK,246.0,60.08048780487805,57.165853658536584,53.08048780487805,48.078048780487805,43.35121951219512,55.05937173768624,True,CLE,246.0,58.31707317073171,55.229268292682924,57.98292682926829,59.390243902439025,62.953658536585365,38.52176579660534,False,1.7634146341463364,1.9365853658536594,-4.90243902439024,-11.31219512195122,-19.602439024390243,16.537605941080905,119,111,8,1,2025-10-22
0022500004,DAL,258.0,58.45348837209303,50.830232558139535,53.9046511627907,50.051162790697674,55.18372093023256,46.56985812418114,True,SAS,258.0,56.06976744186046,53.265116279069765,52.7093023255814,47.01162790697674,52.19302325581395,50.529143561404034,False,2.3837209302325633,-2.4348837209302303,1.195348837209302,3.0395348837209326,2.9906976744186125,-3.9592854372228956,92,125,-33,0,2025-10-22
0022500005,IND,258.0,64.96744186046512,54.03488372093023,47.43488372093024,53.09069767441861,57.77674418604651,42.770855433156534,True,OKC,230.18333333333334,68.16147997972631,62.97250742162044,58.14775179204982,72.13820867424516,59.73148939251321,63.61256842054453,False,-3.1940381192611937,-8.93762370069021,-10.71286807111958,-19.047510999826557,-1.9547452064667041,-20.841712987387993,135,141,-6,0,2025-10-23
0022500006,GSW,240.0,58.7296875,62.11767361111111,69.15259722222223,57.61269444444444,56.990090277777774,43.041193611923326,True,DEN,270.0,62.653333333333336,59.08,59.88666666666666,47.35111111111111,51.00888888888889,61.04964980544747,False,-3.923645833333339,3.03767361111111,9.265930555555563,10.261583333333334,5.981201388888884,-18.008456193524147,137,131,6,1,2025-10-23
0022500007,DET,232.85555555555555,63.30928568020232,49.267211432934104,55.34903134990696,52.16553180321611,57.706064799351054,55.132025461771214,True,CLE,234.77777777777777,64.36968291528632,62.319621391386654,56.358568386180785,57.67179839091339,58.63643634642688,40.96024260841408,False,-1.0603972350839967,-13.05240995845255,-1.0095370362738265,-5.506266587697276,-0.9303715470758291,14.171782853357136,95,116,-21,0,2025-10-27
0022500008,MIN,214.48055555555555,58.37066426638001,57.43698211441079,53.78493517930918,57.876273425459445,52.358350277802955,50.03433013966469,True,DEN,252.5,66.99555775577558,61.635171617161724,64.62288118811881,44.14482508250825,52.769587458745875,61.33689652116963,False,-8.624893489395568,-4.198189502750935,-10.83794600880963,13.731448342951197,-0.41123718094291917,-11.302566381504938,114,127,-13,0,2025-10-27
0022500009,NYK,252.985,61.574294259870484,55.794070794711146,61.733488810272014,46.48605977956532,48.04972099795112,57.006841467226316,True,CLE,297.60333333333335,60.43599422049484,59.96478198048857,57.854382791411375,56.21872514868785,54.31926333710419,40.78662163373922,False,1.1383000393756433,-4.170711185777421,3.8791060188606394,-9.732665369122529,-6.26954233915307,16.220219833487093,126,124,2,1,2025-12-25
0022500010,OKC,254.005,65.03892377446637,65.4308045117222,60.244030629318324,72.09310381029245,51.49617330367513,54.31932665597709,True,SAS,267.09166666666664,62.10826308071512,54.45392717855918,58.571413060434935,46.63401329131696,51.40522604598921,53.08153896345728,False,2.93066069375125,10.976877333163024,1.672617568883389,25.459090518975486,0.09094725768591871,1.2377876925198166,102,117,-15,0,2025-12-25
0022500011,GSW,292.21166666666664,55.238042058553454,61.62969993212683,66.08767103754698,59.86677237390705,57.17890684264261,46.064748506525,True,DAL,275.0416666666667,59.727680048477495,52.63884865929404,54.60581851234661,50.075890319648536,54.052325405241625,42.88809257446342,False,-4.4896379899240415,8.990851272832792,11.481852525200374,9.79088205425851,3.1265814374009864,3.1766559320615784,126,116,10,1,2025-12-25
0022500012,LAL,244.11,67.3474881542474,59.52707112913577,62.427187197028665,48.18399355481819,55.11371717668265,71.35662423860141,True,HOU,262.805,60.19556134776735,46.78997545708795,54.29292124071713,64.08502057926346,64.7416671423045,55.789421814653444,False,7.1519268064800485,12.737095672047822,8.134265956311538,-15.90102702444527,-9.627949965621845,15.567202423947968,96,119,-23,0,2025-12-25
0022500013,DEN,220.59708333333333,55.42570712441423,54.19065150831172,57.24495148583484,48.928383383733156,46.1583565814749,53.39631415485027,True,MIN,265.4116666666667,58.61653971503387,59.4740101854352,57.03234911803676,58.948638906855386,50.313543740227445,50.93129101333149,False,-3.1908325906196424,-5.283358677123481,0.21260236779807684,-10.02025552312223,-4.155187158752547,2.4650231415187847,142,138,4,1,2025-12-25
0022500014,ATL,270.58500000000004,57.2739163910293,57.60832270820629,60.44966954315033,52.791639102931306,50.423935793435206,55.319056136884754,True,MIL,247.01833333333335,56.96658547611176,58.4196739783147,54.875177955752264,53.37293790609334,51.81598734236999,54.057213702086884,False,0.30733091491754294,-0.8113512701084105,5.5744915873980645,-0.581298803162035,-1.3920515489347878,1.2618424347978703,110,112,-2,0,2026-01-19
0022500015,CLE,221.10666666666665,64.56785940420913,55.610935898209014,56.03920355183019,58.41211406259422,64.33731532292107,38.570973669399336,True,OKC,228.10333333333332,61.26246438017857,71.20888997676492,59.227811225906386,70.96071663427395,46.72135801025851,55.15306932727131,False,3.3053950240305596,-15.597954078555908,-3.188607674076195,-12.54860257167973,17.61595731266256,-16.582095657871974,104,136,-32,0,2026-01-19
