gameId,gameDate,personId,teamTricode,priorGames,finishing,shooting,playmaking,defense,rebounding,physical
22400062,2024-10-22,2544,LAL,0,,,,,,87.3
22400085,2024-10-25,2544,LAL,1,42.3432528242097,43.2125693170543,68.58195973789097,57.01327433628319,37.44469026548673,87.3
22400096,2024-10-26,2544,LAL,2,62.20198504570368,46.71159409018696,75.39125431530495,45.0210970464135,38.79746835443038,87.3
22400111,2024-10-28,2544,LAL,3,65.07785145308124,53.49946260720783,75.81178561471984,48.47426470588235,60.772058823529406,87.3
22400118,2024-10-30,2544,LAL,4,51.9446991538464,48.46635260304037,79.16974169741698,41.23616236162361,56.56826568265683,87.3
22400137,2024-11-01,2544,LAL,5,65.10934814984535,53.28864569083447,70.91618566618567,34.04545454545455,59.613636363636374,87.3
22400156,2024-11-04,2544,LAL,6,63.648611422234964,58.846070845273,78.19174280381176,31.53846153846154,58.766578249336874,87.3
22400174,2024-11-06,2544,LAL,7,63.76133988085474,59.275979251558596,82.20686219565353,30.396039603960396,56.93069306930693,87.3
22400195,2024-11-08,2544,LAL,8,65.56448722199681,64.03629545343605,81.12983839899431,28.21752265861027,56.90332326283988,87.3
22400211,2024-11-10,2544,LAL,9,69.2962036927447,65.22841797841798,84.3353363423786,32.42957746478873,60.404929577464785,87.3
22400225,2024-11-13,2544,LAL,10,67.83654501301561,62.25684023541098,86.47541931752458,33.785714285714285,63.46428571428571,87.3
22400015,2024-11-15,2544,LAL,11,71.24327223205523,63.81039439338478,85.91757899316785,31.596091205211728,64.56026058631922,87.3
22400231,2024-11-16,2544,LAL,12,74.4263652527305,65.56885830784914,87.15679561793907,35.905511811023615,66.65354330708662,87.3
22400026,2024-11-19,2544,LAL,13,69.83446722584654,61.57993237598501,81.73095238095237,30.46666666666667,70.96666666666667,87.3
22400263,2024-11-21,2544,LAL,14,72.95307476998116,58.70429586563308,86.69816723940436,30.412371134020617,64.69072164948454,87.3
22400270,2024-11-23,2544,LAL,15,74.52663406622122,61.862176468677944,82.51781309947931,25.898876404494384,66.99438202247191,87.3
22400039,2024-11-26,2544,LAL,16,66.6770038167939,56.96303730950582,82.1087786259542,28.702290076335878,66.06870229007633,87.3
22400296,2024-11-27,2544,LAL,17,70.01909315946813,60.18834178776453,79.96074509933557,24.24581005586592,65.69832402234637,87.3
22400048,2024-11-29,2544,LAL,18,68.02504914313471,57.262548866033214,79.5521061903143,23.664122137404583,67.51908396946565,87.3
22400311,2024-12-01,2544,LAL,19,66.4870763766288,55.085226642203466,78.44980988593157,23.954372623574145,66.38783269961976,87.3
22400318,2024-12-02,2544,LAL,20,63.18145406773688,45.413762109257966,79.57069174757282,24.271844660194173,67.62135922330097,87.3
