gameId,gameDate,homeTeam,homeExpectedMinutesTotal,homeFinishing,homeShooting,homePlaymaking,homeDefense,homeRebounding,homePhysical,isHome_x,awayTeam,awayExpectedMinutesTotal,awayFinishing,awayShooting,awayPlaymaking,awayDefense,awayRebounding,awayPhysical,isHome_y,finishingDiff,shootingDiff,playmakingDiff,defenseDiff,reboundingDiff,physicalDiff,homeScore,awayScore,homePointDiff,homeWin,season
0022400079,2024-10-25,ATL,212.16666666666663,56.93113412070485,43.98912577449552,52.08294219657852,63.145501532857374,58.05843714589604,49.41569520816968,True,CHA,249.26666666666665,48.70980173185563,50.18245587734269,46.08244763576526,60.06927991725581,58.974878670649254,44.200648569136135,False,8.22133238884922,-6.19333010284717,6.000494560813259,3.076221615601561,-0.9164415247532105,5.215046639033545,125,120,5,1,2024-25
0022400080,2024-10-25,CLE,240.0,60.77258379954263,55.60613134015808,56.70807867907468,60.83401087758112,44.555469518190755,38.34470138888889,True,DET,240.01666666666665,50.54896740369728,45.58059490640412,52.678271930648805,46.8108609099786,48.60122868188234,48.55996111381154,False,10.223616395845347,10.025536433753956,4.029806748425877,14.02314996760252,-4.045759163691585,-10.215259724922646,113,101,12,1,2024-25
0022400081,2024-10-25,NYK,240.0,52.9587059860609,51.01485944726881,54.99520284223544,29.755729166666665,43.86129854965586,50.937534722222225,True,IND,255.36666666666665,53.995181359141995,52.44956143938187,59.05366319039479,58.31840213563007,49.24222848053525,44.27183135360919,False,-1.036475373081096,-1.4347019921130553,-4.05846034815935,-28.56267296896341,-5.380929930879397,6.665703368613038,123,98,25,1,2024-25
0022400082,2024-10-25,HOU,240.0,36.718074396838205,47.2066374596261,50.34561214717174,49.278141900196665,45.683013765978366,49.87365277777778,True,MEM,240.01666666666665,55.635150141243145,54.62073663872673,53.555004162022605,46.80025754111225,51.8166442165705,52.640316644677455,False,-18.91707574440494,-7.414099179100631,-3.209392014850863,2.4778843590844133,-6.133630450592136,-2.766663866899677,128,108,20,1,2024-25
0022400083,2024-10-25,MIL,239.98333333333332,57.99621003977657,59.80280907719277,57.081383347990496,53.53067936748312,51.10800851460309,66.29894437113688,True,CHI,246.35,52.36944636787074,44.28411576591979,51.181764260960975,42.423216722257045,55.24291230131004,59.5120966105135,False,5.6267636719058345,15.518693311272976,5.899619087029521,11.107462645226072,-4.13490378670695,6.786847760623381,122,133,-11,0,2024-25
0022400084,2024-10-25,UTA,260.0,55.071110850252246,51.45372626889262,46.17641938556576,46.77862916950306,54.69353656115271,45.37923076923077,True,GSW,240.0,57.42830119809097,53.15708514733735,64.43960933453805,64.62127581120943,59.35907310103245,50.32322916666667,False,-2.357190347838724,-1.7033588784447247,-18.26318994897229,-17.842646641706366,-4.665536539879739,-4.943998397435898,86,127,-41,0,2024-25
0022400085,2024-10-25,LAL,280.0,50.329557034894265,42.03929221546577,57.808360153829824,57.120447482090185,50.177913637800245,56.641934523809525,True,PHX,263.6333333333333,56.736347571697664,55.143585123615054,47.03022204473304,68.30212472180791,47.266685091589395,59.36361107598938,False,-6.406790536803399,-13.104292908149283,10.778138109096787,-11.181677239717729,2.9112285462108503,-2.721676552179858,123,116,7,1,2024-25
0022400086,2024-10-25,POR,260.0,45.68079362670145,42.19424612673917,52.34091634593011,43.82646358066712,50.20427657703653,54.61885256410256,True,NOP,230.01666666666665,50.17234373172982,53.70164532526291,52.8677985615001,66.45865728596043,47.44050386242372,41.36916890080429,False,-4.491550105028367,-11.507399198523736,-0.5268822155699908,-22.63219370529331,2.763772714612813,13.24968366329827,103,105,-2,0,2024-25
0022400087,2024-10-26,DEN,240.01666666666665,40.51916625979671,39.46272064957568,50.66304681481282,58.616210430768845,57.73016524579136,70.14587181445734,True,LAC,265.03333333333336,58.06086906730249,47.201868973650306,50.59975243835366,53.31834570075043,59.55522140621857,55.327575147780145,False,-17.54170280750578,-7.739148324074627,0.06329437645916158,5.297864730018418,-1.8250561604272093,14.818296666677192,104,109,-5,0,2024-25
0022400088,2024-10-26,CHA,225.80833333333337,49.24712202143022,52.983160318680056,45.62519050103678,51.756604534825584,61.207210102664455,41.19144554747758,True,MIA,260.0,47.093797244328535,48.94003885567054,58.5523386277342,43.265724061451905,46.336365357567885,44.08672435897436,False,2.1533247771016875,4.04312146300952,-12.927148126697418,8.490880473373679,14.87084474509657,-2.8952788114967802,106,114,-8,0,2024-25
