gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,gameDate,teamId_advanced,teamTricode_advanced,minutes_advanced,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,assistPercentage,assistToTurnover,assistRatio,turnoverRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,offensiveRating,defensiveRating,netRating,possessions,PIE
0022500001,1610612745,Houston,Rockets,HOU,rockets,1631095,Jabari,Smith Jr.,J. Smith Jr.,jabari-smith-jr,F,,,41:45,7,15,0.467,2,6,0.333,0,0,0.0,3,2,5,0,1,0,0,4,16,2.0,2025-10-21,1610612745,HOU,41:45,0.533,0.533,0.15,0.0,0.0,0.0,0.0,0.081,0.045,0.062,112.2,113.9,-1.7,82.0,0.063
0022500001,1610612745,Houston,Rockets,HOU,rockets,1630578,Alperen,Sengun,A. Sengun,alperen-sengun,F,,,48:53,12,24,0.5,5,8,0.625,10,11,0.909,4,7,11,7,2,1,4,5,39,9.0,2025-10-21,1610612745,HOU,48:53,0.604,0.676,0.277,0.241,1.75,17.5,10.0,0.093,0.146,0.121,115.3,111.8,3.5,98.0,0.206
0022500001,1610612745,Houston,Rockets,HOU,rockets,203500,Steven,Adams,S. Adams,steven-adams,C,,,36:30,1,4,0.25,0,0,0.0,2,2,1.0,5,8,13,3,0,0,3,4,4,2.0,2025-10-21,1610612745,HOU,36:30,0.25,0.41,0.088,0.107,1.0,27.3,27.3,0.125,0.205,0.165,105.6,109.0,-3.3,71.0,0.073
0022500001,1610612745,Houston,Rockets,HOU,rockets,201142,Kevin,Durant,K. Durant,kevin-durant,G,,,47:03,9,16,0.563,0,4,0.0,5,6,0.833,0,9,9,3,0,0,4,6,23,0.0,2025-10-21,1610612745,HOU,47:03,0.563,0.617,0.19,0.115,0.75,12.0,16.0,0.0,0.167,0.09,107.6,110.0,-2.4,92.0,0.121
0022500001,1610612745,Houston,Rockets,HOU,rockets,1641708,Amen,Thompson,A. Thompson,amen-thompson,G,,,38:36,8,17,0.471,0,7,0.0,2,2,1.0,2,2,4,5,1,1,4,3,18,-11.0,2025-10-21,1610612745,HOU,38:36,0.471,0.503,0.228,0.238,1.25,19.2,15.4,0.056,0.056,0.056,104.0,118.7,-14.7,75.0,0.093
0022500001,1610612745,Houston,Rockets,HOU,rockets,1631106,Tari,Eason,T. Eason,tari-eason,,,,21:36,1,6,0.167,1,4,0.25,0,0,0.0,0,6,6,0,0,1,4,1,3,-4.0,2025-10-21,1610612745,HOU,21:36,0.25,0.25,0.169,0.0,0.0,0.0,40.0,0.0,0.316,0.146,100.0,115.6,-15.6,48.0,-0.006
0022500001,1610612745,Houston,Rockets,HOU,rockets,1642263,Reed,Sheppard,R. Sheppard,reed-sheppard,,,,27:47,3,11,0.273,2,7,0.286,1,2,0.5,1,1,2,4,1,1,2,1,9,0.0,2025-10-21,1610612745,HOU,27:47,0.364,0.379,0.194,0.333,2.0,22.2,11.1,0.03,0.031,0.031,93.0,101.9,-8.9,57.0,0.054
0022500001,1610612745,Houston,Rockets,HOU,rockets,203991,Clint,Capela,C. Capela,clint-capela,,,,7:52,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,0,1,0,1,0,4,5.0,2025-10-21,1610612745,HOU,7:52,1.0,1.064,0.136,0.0,0.0,0.0,33.3,0.0,0.0,0.0,105.6,93.3,12.2,18.0,0.138
0022500001,1610612745,Houston,Rockets,HOU,rockets,1629006,Josh,Okogie,J. Okogie,josh-okogie,,,,19:58,1,3,0.333,1,3,0.333,5,6,0.833,1,1,2,1,0,1,0,2,8,-8.0,2025-10-21,1610612745,HOU,19:58,0.5,0.709,0.128,0.083,0.0,14.3,0.0,0.067,0.05,0.057,102.4,118.6,-16.2,42.0,0.072
0022500001,1610612745,Houston,Rockets,HOU,rockets,1631120,JD,Davison,J. Davison,jd-davison,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21,1610612745,HOU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022500001,1610612745,Houston,Rockets,HOU,rockets,1627827,Dorian,Finney-Smith,D. Finney-Smith,dorian-finney-smith,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21,1610612745,HOU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022500001,1610612745,Houston,Rockets,HOU,rockets,201145,Jeff,Green,J. Green,jeff-green,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21,1610612745,HOU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022500001,1610612745,Houston,Rockets,HOU,rockets,1630284,Kevon,Harris,K. Harris,kevon-harris,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21,1610612745,HOU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022500001,1610612745,Houston,Rockets,HOU,rockets,1628988,Aaron,Holiday,A. Holiday,aaron-holiday,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21,1610612745,HOU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022500001,1610612745,Houston,Rockets,HOU,rockets,1630256,Jae'Sean,Tate,J. Tate,jaesean-tate,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21,1610612745,HOU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,1630559,Austin,Reaves,A. Reaves,austin-reaves,F,,,36:20,9,16,0.563,1,5,0.2,7,10,0.7,1,4,5,9,2,0,5,5,26,-14.0,2025-10-21,1610612747,LAL,36:20,0.594,0.637,0.301,0.409,1.8,26.5,14.7,0.031,0.148,0.085,102.7,119.7,-17.1,75.0,0.147
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,1629060,Rui,Hachimura,R. Hachimura,rui-hachimura,F,,,35:25,3,6,0.5,3,6,0.5,0,0,0.0,0,4,4,3,0,0,1,2,9,-6.0,2025-10-21,1610612747,LAL,35:25,0.75,0.75,0.086,0.103,3.0,30.0,10.0,0.0,0.121,0.065,109.2,118.7,-9.5,76.0,0.067
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,,33:53,5,7,0.714,0,0,0.0,0,2,0.0,2,4,6,0,0,1,4,3,10,-4.0,2025-10-21,1610612747,LAL,33:53,0.714,0.635,0.154,0.0,0.0,0.0,33.3,0.074,0.125,0.102,108.1,115.1,-7.0,74.0,0.031
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,1629216,Gabe,Vincent,G. Vincent,gabe-vincent,G,,,28:44,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0,1,1,0,0,3,3,-5.0,2025-10-21,1610612747,LAL,28:44,0.375,0.375,0.061,0.038,0.0,20.0,0.0,0.0,0.0,0.0,109.7,121.7,-12.0,62.0,-0.008
